,Name,id,likes,date,posts,retweets
72,warriors,26270913,705,2019-03-01 01:06:54,Views from the first half 📸 https://t.co/tZVZ8nPzoU,83
73,warriors,26270913,794,2019-03-01 01:02:23,Back-to-back buckets for Klay 🔥 https://t.co/lRNi8hidhv,105
74,warriors,26270913,598,2019-03-01 00:59:48,"tasty dish 🍽

📺 @NBCSAuthentic https://t.co/d6Ai1xp3iq",84
75,warriors,26270913,1427,2019-03-01 00:35:37,"Steph's making things happen tonight 💪

📺 @NBCSAuthentic https://t.co/I2ewxSZk6q",218
76,warriors,26270913,1714,2019-03-01 00:30:27,"Second #SPLASH💦 so far tonight for Steph 

👨‍🍳

📺 @NBCSAuthentic https://t.co/OievchMfks",213
77,warriors,26270913,3108,2019-03-01 00:27:10,Chef's cookin' https://t.co/H724rPCKJP,368
78,warriors,26270913,846,2019-03-01 00:16:18,"early Klay #SPLASH💦

📺 @NBCSAuthentic https://t.co/WoQnb0u43q",132
79,warriors,26270913,697,2019-03-01 00:11:12,Game. On. #DubNation,141
80,warriors,26270913,938,2019-03-01 00:07:20,Tonight's starting 🖐️: https://t.co/Qjp8XVSqIl,146
81,warriors,26270913,614,2019-02-28 23:45:16,"Ya'll ready for this?

Stream it live: https://t.co/FnOPCZszG5 https://t.co/LJigMpM4B9",84
82,warriors,26270913,2870,2019-02-28 23:09:20,"#DubNation, it's almost that time again https://t.co/HrDai4QrAI",316
83,warriors,26270913,500,2019-02-28 23:00:00,"🏀 GSW at ORL
🕓 4 PM
📺 @NBCSAuthentic 
📻 @957thegame 
📱 https://t.co/ZkjPJjiF76  
🗒️ https://t.co/jQlgrAP8uc https://t.co/Ru8DSpkEwV",67
84,warriors,26270913,989,2019-02-28 21:28:00,"Last time the Dubs took on the Magic, KD went OFF for 49 points &amp; Klay dropped 19 in the fourth for a comeback win.… https://t.co/pUhhRyt7kq",148
85,warriors,26270913,1201,2019-02-28 20:35:00,"B U C K E T S 

Dubs have led the @NBA in Offensive Rating three of the past four seasons.

Behind the Data x… https://t.co/FcOy9LLWqn",137
86,warriors,26270913,0,2019-02-28 19:24:56,"RT @WarriorsPR: Injury report for tonight’s game at Orlando: Jonas Jerebko (right quad contusion) is probable. Kevin Durant (rest), Andre I…",109
87,warriors,26270913,826,2019-02-28 19:21:00,"Hoop and the harm

Dubs knocked down THREE and-1 trey balls last night in Miami 💪 https://t.co/0S8kpKnFZ3",117
88,warriors,26270913,486,2019-02-28 18:11:17,"Study up for tonight's matchup with the Magic ⤵️

https://t.co/jQlgrAP8uc",49
89,warriors,26270913,1724,2019-02-28 17:03:01,"Dubs. Magic.

It's going down tonight in Orlando 💯 https://t.co/s3idNqGPuO",191
90,warriors,26270913,477,2019-02-28 04:25:00,"Full 48 minutes of action.

Game recap 👇
https://t.co/PaeETP9hjI",65
91,warriors,26270913,667,2019-02-28 04:10:47,"Dubs' comeback falls just short.

@Verizon has it all in the Game Rewind ⏪ https://t.co/TwGmsejaE0",87
92,warriors,26270913,1378,2019-02-28 03:18:35,"Final 📊

Klay: 36p/3s/2r
KD: 29p/5r/5a
Steph: 24p/6r/4a
Jordan: 10p/6r/2a
Quinn: 8p/2r
Jonas: 6p/3r
Kevon: 6r/2a
Dr… https://t.co/toXm9YXVVS",223
93,warriors,26270913,7864,2019-02-28 03:15:56,🤜🤛 https://t.co/6kRwqzOPIu,1226
94,warriors,26270913,14493,2019-02-28 03:14:36,"Respect, @DwyaneWade https://t.co/OjdAWnPepH",2582
95,warriors,26270913,829,2019-02-28 03:06:32,🍿🍿🍿 https://t.co/cEXhHDJgcH,111
96,warriors,26270913,1337,2019-02-28 02:58:16,"seventh #SPLASH 💦 for Klay 

(and counting) https://t.co/5swB9q1zER",139
97,warriors,26270913,1964,2019-02-28 02:57:17,"OH MY GOODNESS

📺  @NBCSAuthentic https://t.co/BwIl3JKeg0",311
98,warriors,26270913,0,2019-02-28 02:56:58,"RT @WarriorsPR: Klay Thompson has his 10th 30-point game of the season with 36 points, hitting 14-of-22 from the field and 7-of-14 from thr…",197
99,warriors,26270913,3850,2019-02-28 02:54:45,K L A Y https://t.co/RjKQUtYqri,414
