,Assists,AssistsPercentage,BlockedShots,BlocksPercentage,DefensiveRebounds,DefensiveReboundsPercentage,DoubleDoubles,EffectiveFieldGoalsPercentage,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsFantasyDraft,FantasyPointsYahoo,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,GlobalTeamID,IsClosed,Minutes,Name,OffensiveRebounds,OffensiveReboundsPercentage,PersonalFouls,PlayerEfficiencyRating,PlayerID,PlusMinus,Points,Position,Rebounds,Season,SeasonType,Seconds,Started,StatID,Steals,StealsPercentage,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,TotalReboundsPercentage,TripleDoubles,TrueShootingAttempts,TrueShootingPercentage,TurnOversPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,Updated,UsageRatePercentage
21,20.3,9.2,1.1,0.3,36.1,13.1,0.0,45.1,160.7,175.8,165.2,175.8,165.2,73.3,23.7,36.4,18.0,13.5,84.5,19,20000004,False,330,Ryan Anderson,18.0,6.6,27.0,7.0,20000475,-83.4,71.0,PF,54.1,2019,1,64,8,576302,3.4,0.6,MIA,4,41.7,10.1,27.4,9.9,0.0,81.2,49.4,17.2,14.7,31.6,13.5,48.3,2019-03-05T18:19:44,14.0
22,54.1,7.9,14.7,1.4,154.4,19.3,0.0,67.3,604.7,643.8,646.4,643.8,646.4,167.9,83.4,56.0,20.3,15.8,87.7,57,20000024,False,980,Dante Cunningham,51.8,6.5,76.6,13.6,20000476,-186.0,216.4,SF,206.2,2019,1,49,21,576303,27.0,1.5,SA,24,69.9,33.8,54.5,13.0,0.0,176.8,68.9,13.3,23.7,98.0,49.6,57.0,2019-03-05T18:19:44,10.1
23,387.7,31.5,54.1,3.0,349.4,24.1,7.9,54.7,1578.7,1696.1,1713.9,1696.1,1713.9,341.5,148.8,49.1,75.5,54.1,80.7,48,20000026,False,1685,Draymond Green,49.6,3.7,174.7,17.2,20000482,315.6,385.4,PF,399.0,2019,1,24,48,575663,81.1,2.6,GS,26,131.9,33.8,28.9,14.3,0.0,374.7,57.9,30.2,137.5,209.6,115.0,61.8,2019-03-05T18:19:44,14.6
24,92.4,6.7,13.5,0.6,252.4,13.8,4.5,54.7,1643.4,1785.4,1704.2,1785.4,1704.2,920.8,370.8,45.4,252.4,210.7,94.1,58,20000030,False,2150,Harrison Barnes,53.0,2.8,110.4,17.1,20000483,-89.0,1104.5,SF,305.4,2019,1,57,58,576304,47.3,1.1,SAC,30,400.1,152.1,42.8,8.2,0.0,1031.8,60.3,8.8,87.9,520.7,218.6,47.3,2019-03-05T18:19:44,24.3
25,306.5,27.0,21.4,1.0,269.4,15.5,2.3,68.7,2525.4,2778.1,2622.3,2778.1,2622.3,1167.6,560.1,54.1,263.7,242.3,103.6,52,20000026,False,2017,Stephen Curry,39.4,2.5,145.4,33.8,20000485,510.5,1665.7,PG,308.8,2019,1,28,52,575664,75.5,2.0,GS,26,696.5,303.2,49.0,9.2,0.0,1283.6,73.1,12.8,164.5,471.1,257.0,61.4,2019-03-05T18:19:44,34.6
26,156.7,11.3,42.8,1.7,236.7,11.6,0.0,62.3,2213.8,2382.2,2334.4,2382.2,2334.4,1258.9,591.7,53.0,152.1,124.0,91.9,61,20000026,False,2361,Klay Thompson,32.7,1.7,144.3,23.3,20000486,262.6,1515.8,SG,269.4,2019,1,33,61,575665,77.8,1.8,GS,26,526.3,208.5,44.6,6.9,0.0,1325.8,64.5,8.0,101.4,732.6,383.2,58.9,2019-03-05T18:19:44,29.1
27,201.7,18.9,51.8,3.3,196.1,15.4,0.0,66.2,1128.9,1188.1,1236.0,1188.1,1236.0,284.0,142.0,56.4,69.9,40.6,65.5,55,20000026,False,1474,Andre Iguodala,41.7,3.6,87.9,17.5,20000487,329.1,373.0,SF,237.8,2019,1,41,11,575666,55.2,2.0,GS,26,135.2,48.5,40.3,9.7,0.0,314.7,66.7,14.4,46.2,148.8,93.5,70.9,2019-03-05T18:19:44,11.8
28,103.7,17.0,27.0,3.0,67.6,9.1,0.0,54.8,600.7,623.5,658.2,623.5,658.2,199.5,96.9,54.8,51.8,42.8,93.1,50,20000026,False,862,Shaun Livingston,39.4,5.7,64.2,15.7,20000488,28.2,236.7,PG,107.1,2019,1,16,0,575667,30.4,1.9,GS,26,2.3,0.0,0.0,7.5,0.0,222.3,60.1,15.3,34.9,197.2,96.9,55.3,2019-03-05T18:19:44,14.4
29,138.6,10.1,32.7,1.5,258.1,14.3,3.4,53.3,1479.6,1617.8,1619.4,1617.8,1619.4,695.4,259.2,42.0,84.5,74.4,99.2,65,20000021,False,2335,Justin Holiday,37.2,2.0,140.9,12.2,20000492,-429.4,733.7,SG,295.3,2019,1,0,60,577195,107.1,2.6,MEM,21,418.1,140.9,38.0,8.0,0.0,732.6,56.5,13.0,95.8,277.2,118.3,48.1,2019-03-05T18:19:44,18.2
30,396.7,34.2,96.9,4.1,687.5,34.2,50.7,67.3,3523.0,3796.6,3712.3,3796.6,3712.3,1143.9,662.7,65.3,609.7,431.6,79.8,59,20000015,False,2196,Giannis Antetokounmpo,152.1,8.5,222.0,39.9,20000497,571.4,1796.4,PF,839.6,2019,1,9,59,576305,92.4,2.2,MIL,15,163.4,39.4,27.2,22.1,5.6,1412.2,71.7,17.2,254.7,980.5,623.2,71.7,2019-03-05T18:19:44,36.1
31,49.6,7.1,13.5,1.2,173.6,18.2,3.4,58.8,843.4,908.1,889.7,908.1,889.7,332.5,147.6,50.0,58.6,51.8,99.7,52,20000015,False,1043,Ersan Ilyasova,93.5,11.0,152.1,17.0,20000498,189.3,397.8,PF,267.1,2019,1,33,5,576306,32.7,1.6,MIL,15,135.2,50.7,42.3,14.8,0.0,358.3,62.5,11.7,41.7,197.2,96.9,55.3,2019-03-05T18:19:44,18.2
32,78.9,15.3,18.0,2.1,157.8,24.4,0.0,48.2,724.2,760.7,774.9,760.7,774.9,179.2,76.6,48.2,117.2,90.2,86.7,52,20000014,False,817,Zaza Pachulia,99.2,14.5,131.9,17.7,20000499,-44.0,243.4,C,257.0,2019,1,14,3,576307,32.7,2.2,DET,14,4.5,0.0,0.0,19.3,0.0,230.8,59.4,19.2,47.3,174.7,76.6,49.5,2019-03-05T18:19:44,16.6
33,293.0,21.9,5.6,0.2,373.0,19.0,4.5,57.3,2129.1,2313.2,2205.8,2313.2,2205.8,978.2,418.1,48.1,241.2,202.9,94.8,61,20000015,False,2146,Khris Middleton,39.4,2.2,157.8,21.5,20000500,458.7,1196.9,SF,412.5,2019,1,43,61,576308,71.0,1.7,MIL,15,415.9,157.8,42.7,11.1,0.0,1084.4,62.2,14.1,155.5,562.4,260.3,52.2,2019-03-05T18:19:44,27.5
34,23.7,25.5,6.8,4.1,11.3,8.5,0.0,51.7,153.4,163.7,170.3,163.7,170.3,68.7,28.2,46.2,29.3,13.5,52.1,16,20000011,False,162,Michael Carter-Williams,3.4,2.6,30.4,16.3,20000501,-72.1,77.8,PG,14.7,2019,1,41,1,576309,10.1,3.4,CHI,11,21.4,7.9,41.5,5.5,0.0,81.6,53.6,13.7,11.3,47.3,20.3,48.3,2019-03-05T18:19:44,28.4
35,15.8,13.2,12.4,5.6,62.0,38.1,0.0,60.5,235.8,252.7,256.1,252.7,256.1,75.5,34.9,52.2,11.3,6.8,67.6,14,20000012,False,211,John Henson,18.0,10.2,18.0,22.9,20000502,1.1,89.0,PF,80.0,2019,1,27,0,576310,7.9,2.1,CLE,12,34.9,12.4,40.0,23.6,0.0,80.5,62.2,16.2,13.5,40.6,22.5,62.7,2019-03-05T18:19:44,22.0
36,85.7,26.7,1.1,0.2,34.9,8.8,2.3,45.1,329.8,358.9,343.3,358.9,343.3,169.0,55.2,36.9,13.5,7.9,65.7,21,20000016,False,484,Jerryd Bayless,7.9,1.9,42.8,10.4,20000504,-111.6,144.3,PG,42.8,2019,1,58,6,575668,12.4,1.4,MIN,16,84.5,25.9,34.6,5.3,0.0,175.0,46.4,12.3,21.4,84.5,29.3,39.1,2019-03-05T18:19:44,19.2
37,75.5,10.4,14.7,1.2,111.6,12.2,0.0,57.5,578.5,629.4,624.7,629.4,624.7,218.6,89.0,45.9,39.4,24.8,70.9,47,20000008,False,1102,Jared Dudley,28.2,3.1,121.7,9.2,20000505,-14.7,247.9,SF,139.7,2019,1,51,25,576311,31.6,1.5,BKN,8,138.6,45.1,36.6,7.6,0.0,236.0,59.2,17.3,42.8,80.0,44.0,61.9,2019-03-05T18:19:44,12.1
38,19.2,16.8,4.5,2.2,25.9,16.3,0.0,75.2,182.9,190.7,194.2,190.7,194.2,54.1,36.1,75.2,33.8,18.0,60.1,18,20000003,False,193,Miles Plumlee,18.0,11.0,15.8,25.1,20000509,-48.5,90.2,C,44.0,2019,1,63,0,576312,6.8,1.8,ATL,3,0.0,0.0,0.0,13.6,0.0,69.0,73.9,15.8,11.3,54.1,36.1,75.2,2019-03-05T18:19:44,19.0
39,129.6,15.4,23.7,1.6,281.8,24.7,5.6,58.3,1350.3,1462.6,1411.1,1462.6,1411.1,621.0,296.4,53.8,148.8,105.9,80.2,48,20000001,False,1436,Jabari Parker,59.7,5.0,120.6,19.3,20000511,-225.4,748.3,PF,341.5,2019,1,29,17,577196,37.2,1.4,WAS,1,157.8,49.6,35.4,14.7,0.0,686.4,61.4,17.2,124.0,463.2,246.8,60.1,2019-03-05T18:19:44,27.1
40,57.5,22.1,15.8,3.9,120.6,34.9,1.1,55.1,415.1,435.3,436.5,435.3,436.5,101.4,46.2,51.4,42.8,30.4,80.1,28,20000015,False,377,Pau Gasol,24.8,8.0,31.6,22.3,20000512,-15.8,128.5,C,145.4,2019,1,15,6,576313,5.6,0.8,MIL,15,12.4,5.6,51.3,22.2,0.0,120.3,60.3,13.9,16.9,89.0,40.6,51.4,2019-03-05T18:19:44,17.3
41,75.5,22.4,30.4,5.3,152.1,32.1,4.5,57.7,674.5,714.8,723.0,714.8,723.0,187.1,95.8,57.7,95.8,68.7,80.9,35,20000021,False,615,Joakim Noah,56.4,11.4,80.0,23.2,20000514,1.1,260.3,C,208.5,2019,1,15,0,612670,18.0,1.7,MEM,21,1.1,0.0,0.0,21.5,0.0,229.2,64.0,18.9,46.2,186.0,95.8,58.0,2019-03-05T18:19:44,22.9
42,231.0,20.5,34.9,1.6,198.4,12.0,2.3,57.8,2015.6,2108.3,2163.3,2108.3,2163.3,809.2,382.1,53.2,315.6,269.4,96.2,51,20000007,False,1931,Jimmy Butler,100.3,6.5,99.2,27.6,20000515,149.9,1098.8,SG,298.7,2019,1,19,51,576314,112.7,3.1,PHI,7,183.7,65.4,40.1,9.3,0.0,948.0,65.4,9.1,83.4,625.5,316.7,57.0,2019-03-05T18:19:44,25.3
43,238.9,30.2,13.5,0.9,113.8,9.4,1.1,58.3,1505.9,1589.4,1552.1,1589.4,1552.1,791.2,378.7,54.0,172.4,147.6,96.5,47,20000016,False,1480,Derrick Rose,33.8,2.7,58.6,25.7,20000516,46.2,965.8,PG,147.6,2019,1,42,13,576315,32.7,1.2,MIN,16,160.0,60.9,42.8,6.0,0.0,867.0,62.8,10.4,87.9,631.1,317.8,56.8,2019-03-05T18:19:44,30.6
44,83.4,8.0,40.6,2.3,290.8,20.6,12.4,65.4,1542.9,1629.6,1638.7,1629.6,1638.7,536.5,304.3,63.9,171.3,128.5,84.5,62,20000016,False,1720,Taj Gibson,171.3,11.9,186.0,22.2,20000517,-32.7,749.5,PF,462.1,2019,1,47,56,576316,55.2,1.7,MIN,16,38.3,12.4,36.5,16.2,0.0,611.8,69.0,12.7,77.8,498.1,291.9,66.0,2019-03-05T18:19:44,19.0
45,65.4,7.5,15.8,1.2,115.0,9.9,0.0,64.2,765.7,824.1,807.4,824.1,807.4,348.2,158.9,51.4,41.7,37.2,100.5,64,20000015,False,1264,Tony Snell,28.2,2.7,83.4,14.7,20000519,179.2,435.0,SG,143.1,2019,1,41,8,576317,25.9,1.1,MIL,15,200.6,80.0,45.0,6.5,0.0,366.6,66.8,6.5,22.5,147.6,78.9,60.2,2019-03-05T18:19:44,14.6
46,49.6,6.6,34.9,2.7,281.8,25.3,12.4,62.2,1262.9,1379.7,1326.0,1379.7,1326.0,538.7,238.9,50.0,122.8,104.8,96.1,39,20000015,False,1214,Nikola Mirotic,59.7,6.0,107.1,24.2,20000520,71.0,698.7,PF,341.5,2019,1,38,23,576318,28.2,1.2,MIL,15,315.6,116.1,41.5,16.2,0.0,592.8,66.4,8.1,46.2,223.1,122.8,62.1,2019-03-05T18:19:44,25.0
47,59.7,8.1,7.9,0.7,77.8,8.4,0.0,66.0,662.1,721.8,684.7,721.8,684.7,334.7,157.8,53.1,74.4,63.1,95.6,59,20000013,False,1138,Doug McDermott,12.4,1.4,86.8,14.5,20000522,139.7,454.2,SF,90.2,2019,1,18,0,576319,14.7,0.7,IND,13,187.1,75.5,45.5,5.0,0.0,367.4,69.6,9.8,34.9,147.6,82.3,62.8,2019-03-05T18:19:44,17.5
