social_tags_id,tags,related_media_id
517," 'teamjbl' ",2007645790784593571
518," 'alwaysandforever' ",2007057422199714771
519," 'photocred' ",2003499336217965483
520," 'myrideordiebrothers'",1986188936275723943
521," 'antetokounbros' ",1986188936275723943
522," 'beastmodeactivated' ",1983201044003729341
523," 'allstarweekend'",1981019962218665250
524," 'antetokounbros' ",1981019962218665250
525," 'nbaallstar2019' ",1980878407193504938
526," 'valentine' ",1979253981381329606
527," 'ohmygodwowww' ",1978925136270765826
528," 'stayfreaky' ",1977386565126917219
529," 'ownthegame'",1964389122596762875
530," 'nike' ",1964389122596762875
531," 'wecamefromnothing'",1962076862058839987
532," 'butalwayssmilling' ",1962076862058839987
533," 'foe'",1962033387141576382
534," 'antetokounbros'",1962033387141576382
535," 'battleformanyyears' ",1962033387141576382
536," 'goodwin' ",1960776592167106525
537," 'beastmodeactivated'",1947022228214665174
538," '2019'",1947022228214665174
539," 'happynewyear' ",1947022228214665174
540," 'stayfreaky'",1946187309045290497
541," 'eyebrowonfleek'",1946187309045290497
542," 'whatdoyouthinkrock'",1946187309045290497
543," 'itsdoesntmatterwhatyouthink' ",1946187309045290497
544," 'east'",1945496673497493566
545," 'cantbesatisfied' ",1945496673497493566
546," 'nba2k19' ",1929975277094790670
547," 'gottakeepgrowing'",1928760162254088535
548," 'stayfreaky'",1928760162254088535
549," 'thanksforthelove' ",1928760162254088535
550," 'stayfreaky'",1928125851242041113
551," 'fearthedeer' ",1928125851242041113
552," 'bmwmilwaukeenorth'",1924230667999569937
553," 'bucks' ",1924230667999569937
554," 'stayfreaky'",1923067320776201537
555," 'huntingseason' ",1923067320776201537
556," 'themeanmugisback'",1916535199454607977
557," 'stayfreaky'",1916535199454607977
558," 'thoughtsonthejerseys' ",1916535199454607977
559," 'soundsofthecity'",1914791471790582133
560," 'jbl'",1914791471790582133
561," 'milwaukee'",1914791471790582133
562," 'greekfreak'",1914791471790582133
563," 'ad' ",1914791471790582133
564," 'greatsecondhalfeffort' ",1914420318559340419
565," 'morethananathlete' ",1912958156494265568
566," 'stayfreaky' ",1910726725613228841
567," 'workinsilence'",1909067392320020373
568," 'amaningodsmission'",1909067392320020373
569," 'passion' ",1909067392320020373
570," 'stayfreaky'",1905548428499647177
571," 'heatonmyfeet' ",1905548428499647177
572," 'captionthisaswell' ",1901275412488805974
573," 'beastmodeactivated' ",1900455078389965213
